Year,Country,Topic,Authors,No_Authors,Category_of_Authors,Title,Papers_Published,Institutions,Curated_Institution,Institution,Historically_Adv_Disav,Journal,African_Journal,Impact,Means_Citations,Model,Genetic,Research_Types,Adv_Methods,Medicinal_Plants_Usage,P_Name,P_Use,P_Success,N_affiliations,InternationalCollab,CC1,CC2,CC3,CC4,CC5,CC6,CC7,CC8,CC9,CC10,CC11,CC12,CC13,CC14,CC15,CC16,CC17,CC18,CC19,CC20,CC21,CC22,CC23,CC24,CC25,CC26,CC27,CC28,CC29,CC30,CC31,CC32
2011,44,9,"V. L. Ives-Deliperi, M. Solms and E. M. Meintjes",3,Multiple,The neural substrates of mindfulness: an fMRI investigation,1," University of Cape Town, South Africa.",University Cape Town,UCT,Advantage,Afr J Psychiatry (Johannesbg),African Journals,2.679,42,Human,0,Clinical,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,44,3,"R. Dunn, I. Zondagh and S. Candy",3,Multiple,Spinal tuberculosis: magnetic resonance imaging and neurological impairment,1," University of Cape Town, South Africa.",University Cape Town,UCT,Advantage,J S Afr Vet Assoc,African Journals,2.792,28,Human,0,Clinical,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,44,1,"J. Mwansa-Kambafwile, K. Rendall-Mkosi, R. Jacobs, E. Nel and L. London",5,Multiple,Evaluation of a service provider short course for prevention of fetal alcohol syndrome,1," University of Cape Town, South Africa.",University Cape Town,UCT,Advantage,J Stud Alcohol Drugs,African Journals,2.616,19,Human,0,Clinical,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,44,6,"J. H. van Heerden, V. Russell, A. Korff, D. J. Stein and N. Illing",5,Multiple,Evaluating the behavioural consequences of early maternal separation in adult C57BL/6 mice; the importance of time,1," University of Cape Town, South Africa.",University Cape Town,UCT,Advantage,Behav Brain Res,African Journals,3.173,81,Human,0,Clinical,Standard,No,,,,3,44,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,44,3,"H. Gill, W. Jenkins, S. Edu, W. Bekker, A. J. Nicol and P. H. Navsaria",6,Multiple,Civilian penetrating axillary artery injuries,1," University of Cape Town, South Africa.",University Cape Town,UCT,Advantage,World J Surg,African Journals,2.766,35,Human,0,Clinical,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,44,3,"A. A. Figaji, E. Zwane, A. Graham Fieggen, A. C. Argent, P. D. Le Roux and J. C. Peter",6,Multiple,The effect of increased inspired fraction of oxygen on brain tissue oxygen tension in children with severe traumatic brain injury,1," University of Cape Town, South Africa.",University Cape Town,UCT,Advantage,Metab Brain Dis,African Journals,3.163,92,Human,0,Clinical,Standard,No,,,,2,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,44,3,"J. Maritz, M. Benatar, J. A. Dave, T. B. Harrison, M. Badri, N. S. Levitt and J. M. Heckmann",7,Multiple,"HIV neuropathy in South Africans: frequency, characteristics, and risk factors",1," University of Cape Town, South Africa.",University Cape Town,UCT,Advantage,Muscle Nerve,African Journals,2.512,106,Human,0,Clinical,Standard,No,,,,2,56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,44,1,"E. M. Meintjes, S. W. Jacobson, C. D. Molteno, J. C. Gatenby, C. Warton, C. J. Cannistraci, J. C. Gore and J. L. Jacobson",8,Multiple,An fMRI study of magnitude comparison and exact addition in children,1," University of Cape Town, South Africa.",University Cape Town,UCT,Advantage,Magn Reson Imaging,African Journals,2.564,120,Human,0,Clinical,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,44,3,"B. S. Spottiswoode, E. M. Meintjes, A. W. Anderson, C. D. Molteno, M. E. Stanton, N. C. Dodge, J. C. Gore, B. S. Peterson, J. L. Jacobson and S. W. Jacobson",10,Multiple,Diffusion tensor imaging of the cerebellum and eyeblink conditioning in fetal alcohol spectrum disorder,1," University of Cape Town, South Africa.",University Cape Town,UCT,Advantage,Alcohol Clin Exp Res,African Journals,3.183,8,Human,0,Clinical,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,44,7,"E. M. Meintjes, J. L. Jacobson, C. D. Molteno, J. C. Gatenby, C. Warton, C. J. Cannistraci, H. E. Hoyme, L. K. Robinson, N. Khaole, J. C. Gore and S. W. Jacobson",11,Multiple,An FMRI study of number processing in children with fetal alcohol syndrome,1," University of Cape Town, South Africa.",University Cape Town,UCT,Advantage,Alcohol Clin Exp Res,African Journals,3.183,28,Human,0,Clinical,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,44,6,"U. I. Wiehart, P. Torfs, A. Van Lommel, S. W. Nicolson and L. Schoofs",5,Multiple,"Immunocytochemical localization of a diuretic hormone of the beetle Tenebrio molitor, Tenmo-DH(37), in nervous system and midgut",1," University of Pretoria, Katholieke Universiteit Leuven, Minderbroedersstraat",University Cape Town,UCT,Advantage,Cell Tissue Res,African Journals,3.043,39,Human,0,Clinical,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,44,6,"A. Roos, F. Robertson, C. Lochner, B. Vythilingum and D. J. Stein",5,Multiple,Altered prefrontal cortical function during processing of fear-relevant stimuli in pregnancy,1," University of StellenboschTygerbergSouth Africa, University of Cape Town, South Africa.",University Cape Town,UCT,Advantage,Behav Brain Res,African Journals,3.173,98,Human,0,Clinical,Standard,No,,,,2,57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,44,2,"R. K. Sur, S. Nayler, S. N. Ahmed, B. Donde, R. R. Uijs, K. Cooper and A. Giraud",7,Multiple,"Angiosarcomas--clinical profile, pathology and management",1, University of the Witwatersrand,University Cape Town,UCT,Advantage,S Afr J Surg,Non-African Journals,2.592,32,Human,0,Clinical,Standard,No,,,,2,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,44,3,"Seo, W., Prehaud, C., Khan, Z., Sabeta, C. and Lafon, M.",5,Multiple,Investigation of rabies virus glycoprotein carboxyl terminus as an in vitro predictive tool of neurovirulence. A 3R approach,1,"ARC-Onderstepoort Veterinary Institute, University of Pretoria (SA) and Institut Pasteur (France)",University Cape Town,UCT,Advantage,Microbes Infect,African Journals,2.9,40,Human,0,Clinical,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,44,3,A. Bergemann and A. S. Karstaedt,2,Multiple,The spectrum of meningitis in a population with high prevalence of HIV disease,1,"Baragwanath Hospital, University of the Witwatersrand",University Cape Town,UCT,Advantage,S Afr Med J,African Journals,3.131,0,Human,0,Clinical,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,44,3,"A. I. Bhigjee, R. Padayachee, H. Paruk, K. D. Hallwirth-Pillay, S. Marais and C. Connoly",6,Multiple,Diagnosis of tuberculous meningitis: clinical and laboratory parameters,1,"Biostatistics Unit, Medical Research Council of South Africa, University of KwaZulu-Natal, South Africa.",University Cape Town,UCT,Advantage,Int J Infect Dis,African Journals,3.237,18,Human,0,Clinical,Standard,No,,,,2,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,44,1,"Jacobson, S. W., Jacobson, J. L., Molteno, C. D., Warton, C. M. R., Wintermark, P., Hoyme, H. E., De Jong, G., Taylor, P., Warton, F., Lindinger, N. M., Carter, R. C., Dodge, N. C., Grant, E., Warfield, S. K., Zollei, L., van der Kouwe, A. J. W. and Meintjes, E. M.",17,Multiple,Heavy Prenatal Alcohol Exposure is Related to Smaller Corpus Callosum in Newborn MRI Scans,1,"Cape Town and stellenbosch Universities (SA), Wayne State, South Dakota, Arizona, Columbia universities and Harvard Medical School (USA)",University Cape Town,UCT,Advantage,Alcohol Clin Exp Res,African Journals,3.183,7,Human,0,Clinical,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,44,7,"Watt, M. H., Dennis, A. C., Choi, K. W., Ciya, N., Joska, J. A., Robertson, C. and Sikkema, K. J.",7,Multiple,"Impact of Sexual Trauma on HIV Care Engagement: Perspectives of Female Patients with Trauma Histories in Cape Town, South Africa",1,Cape Town University and Duke University,University Cape Town,UCT,Advantage,AIDS Behav,African Journals,3.017,30,Human,0,Clinical,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,44,1,"Kodali, V. N., Jacobson, J. L., Lindinger, N. M., Dodge, N. C., Molteno, C. D., Meintjes, E. M. and Jacobson, S. W.",7,Multiple,Differential Recruitment of Brain Regions During Response Inhibition in Children Prenatally Exposed to Alcohol,1,"Cape Town University, Wayne State University",University Cape Town,UCT,Advantage,Alcohol Clin Exp Res,African Journals,3.183,31,Human,0,Clinical,Standard,No,,,,9,0,37,15,47,40,50,52,21,53,,,,,,,,,,,,,,,,,,,,,,,,
2017,44,3,"Horn, A., Scheller, C., du Plessis, S., Burger, R., Arendt, G., Joska, J., Sopper, S., Maschke, C. M., Obermann, M., Husstedt, I. W., Hain, J., Riederer, P. and Koutsilieri, E.",13,Multiple,"The dopamine-related polymorphisms BDNF, COMT, DRD2, DRD3, and DRD4 are not linked with changes in CSF dopamine levels and frequency of HIV infection",1,"Cape Town, Stellenbosch Universities (SA), University of Wuerzburg, University Hospital of Duesseldorf, University Hospital of Duisburg-Essen, University Hospital of Muenster (Germany) and Medical University Innsbruck (Austria)",University Cape Town,UCT,Advantage,Brain Behav Evol,African Journals,2.776,9,Human,0,Clinical,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,44,3,M. Modi and G. Modi,2,Multiple,Case reports: postpartum cerebral angiopathy in a patient with chronic migraine with aura,1,"Chris Hani Baragwanath Hospital ,University of the Witwatersrand",University Cape Town,UCT,Advantage,Headache,African Journals,3.091,27,Human,0,Clinical,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,44,1,"G. Modi, M. Modi, I. Martinus, J. Rodda and D. Saffer",5,Multiple,The clinical and genetic characteristics of spinocerebellar ataxia type 7 (SCA 7) in three Black South African families,1,Chris Hani Baragwanath Hospital and the University of the Witwatersrand,University Cape Town,UCT,Advantage,Front Syst Neurosci,African Journals,3.126,41,Human,0,Clinical,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,44,3,"Naidoo, A., Paruk, H., Bhagwan, B. and Moodley, A.",4,Multiple,Atypical presentations of acute disseminated encephalomyelitis (ADEM) in HIV infection,1,"Greys Hospital, Pietermaritzburg, University of Kwazulu-Natal,  Inkosi Albert Luthuli Hospital",University Cape Town,UCT,Advantage,J Neurovirol,African Journals,3.228,160,Human,0,Clinical,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,44,3,P. Makan,1,Single,Neurologic compromise after an isolated laminar fracture of the cervical spine,1,Groote Schuur Hospital,University Cape Town,UCT,Advantage,J Child Neurol,African Journals,2.792,69,Human,0,Clinical,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,44,3,E. Shevel,1,Single,Middle meningeal artery dilatation in migraine,1,"Headache Clinic, Houghton, South Africa.",University Cape Town,UCT,Advantage,Headache,African Journals,3.091,16,Human,0,Clinical,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,44,3,A. I. Bhigjee,1,Single,Neurological manifestations of HIV infection in Kwazulu-Natal South Africa,1,Inkosi Albert Luthuli Central,University Cape Town,UCT,Advantage,J Neurosurg Pediatr,African Journals,3.228,12,Human,0,Clinical,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,44,3,"N. S. Pillay, L. A. Kellaway and G. J. Kotwal",3,Multiple,Vaccinia virus complement control protein significantly improves sensorimotor function recovery after severe head trauma,1,"Institute for Infectious Diseases and Molecular Medicine, Cape Town, South Africa,  University of Cape Town, South Africa.",University Cape Town,UCT,Advantage,Brain Res,African Journals,3.125,16,Human,0,Clinical,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,44,7,"Mgoqi-Mbalo, N., Zhang, M. and Ntuli, S.",3,Multiple,Risk factors for PTSD and depression in female survivors of rape,1,Lampopo University (SA) and University of California (USA),University Cape Town,UCT,Advantage,Electromyogr Clin Neurophysiol,African Journals,2.6,17,Human,0,Clinical,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,44,8,"A. Dalton, P. Wolmarans, R. C. Witthuhn, M. E. van Stuijvenberg, S. A. Swanevelder and C. M. Smuts",6,Multiple,"A randomised control trial in schoolchildren showed improvement in cognitive function after consuming a bread spread, containing fish flour from a marine source",1,"Medical Research Council, South Africa, University of StellenboschTygerbergSouth Africa.",University Cape Town,UCT,Advantage,Prostaglandins Leukot Essent Fatty Acids,African Journals,2.786,1,Human,0,Clinical,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,44,9,"R. Naude, W. Oelofsen, A. Takahashi, M. Amano and H. Kawauchi",5,Multiple,Molecular cloning and characterization of preproopiomelanocortin (prePOMC) cDNA from the ostrich (Struthio camelus),1,"Nelson Mandela Metropolitan University, South Africa.",University Cape Town,UCT,Advantage,Gen Comp Endocrinol,African Journals,2.512,74,Human,0,Clinical,Standard,No,,,,2,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,44,3,"Scott, L. L. and Downing, T. G.",2,Multiple,Beta-N-Methylamino-L-Alanine (BMAA) Toxicity Is Gender and Exposure-Age Dependent in Rats,1,Nelson Mandela University,University Cape Town,UCT,Advantage,Toxins (Basel),African Journals,3.236,105,Human,0,Clinical,Standard,No,,,,2,57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,44,3,"Scott, L. L. and Downing, T. G.",2,Multiple,A Single Neonatal Exposure to BMAA in a Rat Model Produces Neuropathology Consistent with Neurodegenerative Diseases,1,Nelson Mandela University,University Cape Town,UCT,Advantage,Toxins (Basel),African Journals,3.236,20,Human,0,Clinical,Standard,No,,,,2,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,44,3,"Schoeman, J. C., Steyn, S. F., Harvey, B. H. and Brink, C. B.",4,Multiple,Long-lasting effects of fluoxetine and/or exercise augmentation on bio-behavioural markers of depression in pre-pubertal stress sensitive rats,1,North West University,University Cape Town,UCT,Advantage,Behav Brain Res,African Journals,3.173,41,Human,0,Clinical,Standard,No,,,,2,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,44,9,"Wyatt, G. E., Davhana-Maselesele, M., Zhang, M., Wong, L. H., Nicholson, F., Sarkissian, A., Makhado, L. and Myers, H. F.",8,Multiple,A longitudinal study of the aftermath of rape among rural South African women,1,"North West University (SA), UCSF and Vanderbuilt Universities (USA)",University Cape Town,UCT,Advantage,Psychol Trauma,African Journals,2.6,107,Human,0,Clinical,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,44,3,"W. J. Geldenhuys, S. F. Malan, T. Murugesan, C. J. Van der Schyf and J. R. Bloomquist",5,Multiple,"Synthesis and biological evaluation of pentacyclo[5.4.0.0(2,6).0(3,10).0(5,9)]undecane derivatives as potential therapeutic agents in Parkinson's disease",1,"North West University, Potchefstroom, ",University Cape Town,UCT,Advantage,PeerJ,African Journals,2.901,5,Human,0,Clinical,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,44,3,"Hoon, M., Petzer, J. P., Viljoen, F. and Petzer, A.",4,Multiple,The Design and Evaluation of an l-Dopa-Lazabemide Prodrug for the Treatment of Parkinson's Disease,1,North-West University,University Cape Town,UCT,Advantage,Psychiatr Clin North Am,African Journals,3.098,6,Human,0,Clinical,Standard,No,,,,2,105,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,44,9,"G. Terre'Blanche, M. M. van der Walt, J. J. Bergh and L. J. Mienie",4,Multiple,Treatment of an adrenomyeloneuropathy patient with Lorenzo's oil and supplementation with docosahexaenoic acid--a case report,1,"North-West University, Potchefstroom, South Africa",University Cape Town,UCT,Advantage,Neurosurgery,African Journals,2.663,25,Human,0,Clinical,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,44,6,"B. H. Harvey, C. Joubert, J. L. du Preez and M. Berk",4,Multiple,Effect of chronic N-acetyl cysteine administration on oxidative status in the presence and absence of induced oxidative stress in rat striatum,1,"North-West University, South Africa",University Cape Town,UCT,Advantage,Neurochem Res,African Journals,2.723,28,Human,0,Clinical,Standard,No,,,,2,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,44,7,"C. B. Brink, J. D. Clapton, B. E. Eagar and B. H. Harvey",4,Multiple,Appearance of antidepressant-like effect by sildenafil in rats after central muscarinic receptor blockade: evidence from behavioural and neuro-receptor studies,1,"North-West University, South Africa",University Cape Town,UCT,Advantage,J Neural Transm (Vienna),African Journals,2.776,118,Human,0,Clinical,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,44,6,"S. Korff, D. J. Stein and B. H. Harvey",3,Multiple,Cortico-striatal cyclic AMP-phosphodiesterase-4 signalling and stereotypy in the deer mouse: attenuation after chronic fluoxetine treatment,1,"North-West University, South Africa, University of Cape Town, South Africa.",University Cape Town,UCT,Advantage,Pharmacol Biochem Behav,African Journals,2.538,26,Human,0,Clinical,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,44,7,"L. Brand, I. Groenewald, D. J. Stein, G. Wegener and B. H. Harvey",5,Multiple,Stress and re-stress increases conditioned taste aversion learning in rats: possible frontal cortical and hippocampal muscarinic receptor involvement,1,"North-West University, South Africa, University of Cape Town, South Africa.",University Cape Town,UCT,Advantage,Med Hypotheses,African Journals,3.148,41,Human,0,Clinical,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,44,6,"J. Joubert, S. van Dyk, I. R. Green and S. F. Malan",4,Multiple,Synthesis and evaluation of fluorescent heterocyclic aminoadamantanes as multifunctional neuroprotective agents,1,"North-West University, South Africa, University of the Western Cape, South Africa.",University Cape Town,UCT,Advantage,Bioorg Med Chem,African Journals,2.901,26,Human,0,Clinical,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,44,7,"N. Liebenberg, G. Wegener, B. H. Harvey and C. B. Brink",4,Multiple,Investigating the role of protein kinase-G in the antidepressant-like response of sildenafil in combination with muscarinic acetylcholine receptor antagonism,1,"North-West University, South Africa.",University Cape Town,UCT,Advantage,Behav Brain Res,African Journals,3.173,34,Human,0,Clinical,Standard,No,,,,2,57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,44,9,"M. O. Ogunrombi, S. F. Malan, G. Terre'Blanche, K. Castagnoli, N. Castagnoli, Jr., J. J. Bergh and J. P. Petzer",7,Multiple,Neurotoxicity studies with the monoamine oxidase B substrate 1-methyl-3-phenyl-3-pyrroline,1,"North-West University, South Africa.",University Cape Town,UCT,Advantage,J Cardiovasc Pharmacol,African Journals,3.234,75,Human,0,Clinical,Standard,No,,,,2,56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,44,2,"E. Grobler, A. Grobler, C. J. Van der Schyf and S. F. Malan",4,Multiple,Effect of polycyclic cage amines on the transmembrane potential of neuronal cells,1,"Northwest University, South Africa.",University Cape Town,UCT,Advantage,Bioorg Med Chem,African Journals,2.901,14,Human,0,Clinical,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,44,9,"D. W. Oliver, I. C. Dormehl, J. E. Wikberg, W. K. Louw, M. Dambrova, A. van Gelder, E. Kilian and E. J. van Rensburg",8,Multiple,"In vivo measurements of the cerebral perfusion and cardiovascular effects of the novel guanidine ME10092 in the non-human primate, Papio ursinus",1,"Potchefstroom University for CHE, Upsala University, Atomic Energy corporation of south Africa, Latvian Institute of Organic Synthesis",University Cape Town,UCT,Advantage,Life Sci,African Journals,3.234,39,Human,0,Clinical,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,44,6,"H. W. Huisman, P. J. Pretorius, J. M. Van Rooyen, N. T. Malan, F. C. Eloff, P. J. Laubscher and H. S. Steyn",7,Multiple,Haemodynamic changes in the cardiovascular system during the early phases of orthostasis,1,"Potchefstroom University for Christian Higher Education,",University Cape Town,UCT,Advantage,Acta Physiol Scand,African Journals,2.554,64,Human,0,Clinical,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,44,9,"Assane, Y. A., Trevisan, C., Schutte, C. M., Noormahomed, E. V., Johansen, M. V. and Magnussen, P.",6,Multiple,"Neurocysticercosis in a rural population with extensive pig production in Angonia district, Tete Province, Mozambique",1,"Pretoria University (SA), Eduardo Mondlane University (Mozembique), UC San Diego (USA), University of Copenhagen (Denmark)",University Cape Town,UCT,Advantage,J Clin Exp Neuropsychol,African Journals,2.548,11,Human,0,Clinical,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,44,9,"M. Mulder, J. Crosier and R. Dunn",3,Multiple,Cauda equina compression by hydrogel dural sealant after a laminotomy and discectomy: case report,1,"Princess Alice Orthopaedic unit, Christiaan Barnard Memorial Hospital.",University Cape Town,UCT,Advantage,Spine (Phila Pa 1976),African Journals,2.792,27,Human,0,Clinical,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,44,3,"H. Maharaj, D. S. Maharaj and S. Daya",3,Multiple,Acetylsalicylic acid and acetaminophen protect against MPP+-induced mitochondrial damage and superoxide anion generation,1,Rhodes University,University Cape Town,UCT,Advantage,Life Sci,African Journals,3.234,85,Human,0,Clinical,Standard,No,,,,2,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,44,3,"A. C. Muller, H. Maharaj, D. S. Maharaj and S. Daya",4,Multiple,Aciclovir protects against quinolinic-acid-induced oxidative neurotoxicity,1,Rhodes University,University Cape Town,UCT,Advantage,J Pharm Pharmacol,African Journals,2.578,1,Human,0,Clinical,Standard,No,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,44,1,"P. Heron, K. Cousins, C. Boyd and S. Daya",4,Multiple,Paradoxical effects of copper and manganese on brain mitochondrial function,1,Rhodes University,University Cape Town,UCT,Advantage,CNS Spectr,African Journals,3.234,105,Human,0,Clinical,Standard,No,,,,2,57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
