"","year","country","topic","authors","no_authors","title","institution","journal","african_journal","impact","citations","model","genetic","research_types","adv_methods","plants","p_name","p_use","p_success","n_affiliations","international_collab","CC1","CC2","CC3","CC4","CC5","CC6","CC7","CC8","CC9","CC10","CC11","CC12","CC13","CC14","CC15","CC16","CC17","CC18","CC19","CC20","CC21","CC22","CC23","CC24","CC25","CC26","CC27","CC28","CC29","CC30","CC31","CC32"
"24",1996,44,3,"A. Bergemann and A. S. Karstaedt",2,"The spectrum of meningitis in a population with high prevalence of HIV disease","Baragwanath Hospital, University of the Witwatersrand","S Afr Med J","Yes",3.131,67,"Human",0,"Clinical",0,0,NA,NA,NA,2,44,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",1996,44,3,"G. P. Grobler",1,"Unusual cause of ulnar nerve palsy","Princess Alice Orthopaedic Hospital, University of Cape Town","Clin Orthop Relat Res","Yes",2.765,8,"Human",0,"Basic",0,0,NA,NA,NA,2,44,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",1996,44,3,"C. J. Van der Schyf, I. C. Dormehl, D. W. Oliver, N. Hugo, R. Keeve, H. W. Muller-Gartner, S. M. Pond and N. Castagnoli, Jr.",9,"Long-term treatment with the tetrahydropyridine analog (HPTP) of haloperidol influences dopamine ligand binding in baboon brain. An [123I]iodobenzamide (IBZM) SPECT study","Potchefstroom University for Christian Higher Education, University of Pretoria, University of Du ̈sseldorf, University of Queenland, Virginia Polytechnic Institute, State University Blacksburg","Brain Res Mol Brain Res","Yes",0,6,"Baboon",0,"Basic",0,0,NA,NA,NA,5,44,102,53,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",1997,44,8,"D. T. Mattson, M. Berk and M. D. Lucas",3,"A neuropsychological study of prefrontal lobe function in the positive and negative subtypes of schizophrenia","University of the Witwatersrand","J Genet Psychol","Yes",0,31,"Human",0,"Basic",0,0,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",1997,44,1,"M. R. Davies",1,"Anatomy of the nerve supply of the rectum, bladder, and internal genitalia in anorectal dysgenesis in the male","University of the Witwa- tersrand Medical School","J Pediatr Surg","Yes",1.733,41,"Human",0,"Basic",0,0,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",1997,44,6,"T. J. Daly, L. A. Williams and R. Buffenstein",3,"Catecholaminergic innervation of interscapular brown adipose tissue in the naked mole-rat (Heterocephalus glaber)","University of the Witwatersrand,","J Anat","Yes",2.097,16,"Mole rat",0,"Basic",1,0,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",1997,44,3,"W. K. Jacyk, J. H. Du Bruyn, N. Holm, H. Gryffenberg and V. O. Karusseit",5,"Cutaneous infection due to Cladophialophora bantiana in a patient receiving immunosuppressive therapy","Univesity Pretoria","Br J Dermatol","Yes",6.129,28,"Human",0,"Basic",0,0,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",1997,44,9,"D. M. Raidoo and K. D. Bhoola",2,"Kinin receptors on human neurones","University of Natal","J Neuroimmunol","Yes",2.757,86,"Human",0,"Basic",0,0,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",1997,44,3,"C. J. Botha, J. J. van der Lugt, G. L. Erasmus, T. S. Kellerman, R. A. Schultz and R. Vleggaar",6,"Krimpsiekte, associated with thalamic lesions, induced by the neurotoxic cardiac glycoside, cotyledoside, isolated from Tylecodon wallichii (Harv.) Toelken subsp. wallichii","University of Pretoria","Onderstepoort J Vet Res","Yes",1.206,17,"Sheep",0,"Basic",0,1,"Tylecodon wallichii","Induction of therlamic lesion",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",1997,44,3,"R. Chetty, S. Batitang and D. Govender",3,"Large cell neuroendocrine carcinoma of the thymus","University of Natal School of Medicine, Durban, South Africa","Histopathology","Yes",3.453,49,"Human",0,"Basic",0,0,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",1997,44,2,"F. X. Omlin",1,"Optic disc and optic nerve of the blind cape mole-rat (Georychus capensis): a proposed model for naturally occurring reactive gliosis","University of Cape Town","J Neurol Sci","Yes",3.44,25,"Mole rat",0,"Basic",1,0,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",1997,44,1,"D. A. Hudson, D. G. Bolitho and K. Hodgetts",3,"Primary epineural repair of the median nerve in children","University of Cape Town","Stroke","Yes",1.876,31,"Human",0,"Clinical",0,0,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",1997,44,7,"H. G. Russouw, M. C. Roberts, R. A. Emsley and R. Truter",4,"Psychiatric manifestations and magnetic resonance imaging in HIV-negative neurosyphilis","University of Stellenbosch","Eur J Paediatr Neurol","Yes",11.984,51,"Human",0,"Basic",0,0,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",1997,44,6,"V. Harrison and G. Peat",2,"Red blood cell magnesium and hypoxic-ischaemic encephalopathy","University of Cape Town","Am J Physiol Regul Integr Comp Physiol","Yes",2.025,22,"Human",0,"Clinical",0,0,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",1997,44,6,"S. K. Maloney and G. Mitchell",2,"Selective brain cooling: role of angularis oculi vein and nasal thermoreception","University of the Witwatersrand","PLoS One","Yes",3.057,31,"Sheep",0,"Basic",0,0,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",1997,44,3,"K. Naidu, J. Moodley, P. Corr and M. Hoffmann",4,"Single photon emission and cerebral computerised tomographic scan and transcranial Doppler sonographic findings in eclampsia","University of Natal","Physiol Behav","Yes",2.321,118,"Human",0,"Clinical",0,0,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",1997,44,1,"K. K. Booth, F. M. Baloyi and O. M. Lukhele",3,"The brachial plexus in the chacma baboon (Papio ursinus)","Medical University of South Africa","BMC Psychiatry","Yes",0.432,27,"Baboon",0,"Basic",0,0,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",1997,44,3,"C. M. Thompson, A. S. Puterman, L. L. Linley, F. M. Hann, C. W. van der Elst, C. D. Molteno and A. F. Malan",7,"The value of a scoring system for hypoxic ischaemic encephalopathy in predicting neurodevelopmental outcome","Univesity of Cape Town","Pediatr Radiol","Yes",2.58,286,"Human",0,"Basic",0,0,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",1997,44,3,"S. M. Carlini, N. Beyers, J. F. Schoeman, E. D. Nel, E. J. Truter and P. R. Donald",6,"Adenylate kinase activity in the cerebrospinal fluid of children with tuberculous meningitis and its relationship to neurological outcome","University of Steiienbosch, Cape Technicon","Scand J Infect Dis","Yes",0,3,"Human",0,"Clinical",0,0,NA,NA,NA,2,44,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",1997,44,6,"L. London, J. E. Myers, V. Nell, T. Taylor and M. L. Thompson",5,"An investigation into neurologic and neurobehavioral effects of long-term agrichemical use among deciduous fruit farm workers in the Western Cape, South Africa","University of Cape Town, University of South Africa, Human Sciences Research Council","Environ Res","Yes",4.811,98,"Human",0,"Basic",0,0,NA,NA,NA,2,44,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",1997,44,3,"M. D. Voigt, G. Trey, N. S. Levitt, R. Raine, C. J. Lombard, S. C. Robson, G. Gordon and R. E. Kirsch",8,"Autonomic neuropathy in extra-hepatic portal vein thrombosis: evidence for impaired autonomic reflex arc","University of Cape Town, & Centre for Edpidemiological Study","J Hepatol","Yes",0,16,"Human",0,"Basic",0,0,NA,NA,NA,2,44,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",1997,44,2,"B. Troskie, J. A. King, R. P. Millar, Y. Y. Peng, J. Kim, H. Figueras and N. Illing",7,"Chicken GnRH II-like peptides and a GnRH receptor selective for chicken GnRH II in amphibian sympathetic ganglia","University of Cape Town, & University of Chicago","Neuroendocrinology","Yes",5.024,60,"Frog",0,"Basic",0,0,NA,NA,NA,2,57,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",1997,44,6,"R. Predel, R. Kellner, J. Rapus, H. Penzlin and G. Gade",5,"Isolation and structural elucidation of eight kinins from the retrocerebral complex of the American cockroach, Periplaneta americana","University of Cape Town, Institut fu ̈r Physiologische Chemie und Pathobiochemie, & Institut fu ̈r Allgemeine Zoologie und Tierphysiologie","Regul Pept","Yes",2.5,35,"Coackroach",0,"Basic",0,0,NA,NA,NA,2,102,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",1997,44,3,"W. L. Berry, J. E. Jardine and I. W. Espie",3,"Pulmonary cryptococcoma and cryptococcal meningoencephalomyelitis in a king cheetah (Acinonyx jubatus)","University Pretoria & The National Zoological Gardens","Int J Neurosci","Yes",0,13,"Acinonyx Jubatus",0,"Basic",0,0,NA,NA,NA,2,44,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",1997,44,3,"J. J. Van der Walt, J. M. Van Rooyen, T. S. Kellerman, E. E. Carmeliet and F. Verdonck",5,"Neurospecificity of phyto-bufadienolides is not related to differences in Na+/K+ pump inhibition","Univerity Potchesfstroom, Veterinary Research Institute, Univesity of Leuren","Arch Clin Neuropsychol","Yes",3.148,6,"Rat,Guinea pig",0,"Basic",0,0,NA,NA,NA,3,44,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",1997,44,6,"I. C. Dormehl, D. W. Oliver, K. J. Langen, N. Hugo and S. A. Croft",5,"Technetium-99m-HMPAO, technetium-99m-ECD and iodine-123-IMP cerebral blood flow measurements with pharmacological interventions in primates","University Pretoria, Univerity Potchesfstroom & Institute for Medicine","Integr Zool","Yes",7.439,16,"Baboon",0,"Basic",0,0,NA,NA,NA,3,44,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",1998,44,4,"I. Truter",1,"An investigation into compound analgesic prescribing in South Africa, with special emphasis on meprobamate-containing analgesics","University of Port Elizabe","Pharmacoepidemiol Drug Saf","Yes",2.314,2,"Human",0,"Basic",0,0,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",1998,44,6,"A. Fuller, R. N. Carter and D. Mitchell",3,"Brain and abdominal temperatures at fatigue in rats exercising in the heat","University of the Witwatersrand","J Appl Physiol (1985)","Yes",3.25,171,"Rat",0,"Basic",0,0,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",1998,44,9,"K. Peltzer, V. I. Cherian and L. Cherian",3,"Brain fag symptoms in rural South African secondary school pupils","University of the North","Psychol Rep","Yes",0.669,22,"Human",0,"Basic",0,0,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",1998,44,3,"J. P. De Villiers and G. Durra",2,"Case report: amoebic abscess of the brain"," Groote Schuur Hospital","Clin Radiol","Yes",2.282,17,"Human",0,"Clinical",0,0,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",1998,44,9,"D. M. Raidoo, P. K. Narotam, J. van Dellen and K. D. Bhoola",4,"Cellular orientation of atrial natriuretic peptide in the human brain","University of Natal","J Chem Neuroanat","Yes",2.162,13,"Human",0,"Basic",0,0,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",1998,44,5,"J. L. Ellwood, J. Moodley and P. Corr",3,"Cerebral magnetic resonance imaging in eclampsia: a series of 12 cases","University of Natal","J Obstet Gynaecol","Yes",0,3,"Human",0,"Clinical",0,0,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",1998,44,8,"M. Hoffmann and A. Watts",2,"Cognitive dysfunction in isolated brainstem stroke: a neuropsychological and SPECT study","University of Natal","J Stroke Cerebrovasc Dis","Yes",1.651,17,"Human",0,"Basic",0,0,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
